Tool_Wear,Depth_of_Cut_ap,Cutting_Speed_vc,Feed_Rate_f,Surface_Roughness_Ra,Fx,Fy,Fz,F
0.0,0.25,350,0.09,0.302,63.52,49.88,25.1,84.57431525
0.0,0.25,350,0.09,0.32,63.52,49.88,25.1,84.57431525
0.0,0.25,350,0.09,0.322,63.52,49.88,25.1,84.57431525
0.0,0.25,350,0.07,0.143,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.07,0.147,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.07,0.142,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.07,0.166,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.07,0.159,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.07,0.155,55.29,44.64,24.17,75.0593272
0.0,0.25,350,0.11,0.325,74.77,54.71,24.75,95.89733834
0.0,0.25,350,0.11,0.342,74.77,54.71,24.75,95.89733834
0.0,0.25,350,0.11,0.311,74.77,54.71,24.75,95.89733834
0.0,0.25,350,0.11,0.316,74.77,54.71,24.75,95.89733834
0.0,0.25,350,0.11,0.32,74.77,54.71,24.75,95.89733834
0.0,0.25,350,0.11,0.321,74.77,54.71,24.75,95.89733834
0.0,0.5,350,0.13,1.675,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.13,1.61,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.13,1.577,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.13,1.673,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.13,1.591,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.13,1.66,168.0,86.76,79.87,205.2571911
0.0,0.5,350,0.11,1.086,148.5,75.7,74.01,182.3738471
